Name,Age,Overall rating,Potential,Value,Wage,Team,Contract Start Date,Contract End Date,Contract Length (Yrs),Total stats
Ș. Pănoiu CAM RM LM,20,64,78,1400000,2000,Young Boys,2023,2028,5,1709
Ș. Târnovanu GK,23,70,80,3100000,6000,West Ham United,2018,2024,6,1159
É. Balanta CDM CM,30,72,72,2000000,15000,Bordeaux,2023,2028,5,1803
É. Banega CM CDM CAM,35,79,79,7000000,31000,Viborg,2022,2027,5,2105
Á. Correa ST RM,28,82,82,31000000,77000,Sirius,2022,2027,5,2169
Á. Di María CF RM,35,83,83,15500000,19000,Libertad,2017,2023,6,2146
É. Gutiérrez CM CDM,28,76,76,0,0,Lens,2023,2028,5,2052
Á. Lang CB,30,72,72,0,0,Metz,"Jun 30, 2024 On loan",,NULL,1642
É. Michut CDM CM,20,68,80,2800000,16000,Rionegro √Åguilas,2020,2023,3,1779
Á. Nagy CDM CM,28,71,72,1800000,4000,LDU Quito,2022,2024,2,1914
Á. Preciado GK,25,61,65,350000,500,Sevilla,2019,2024,5,923
Á. Quiroga CM,28,68,68,1200000,600,Famalic√£o,2023,2026,3,1846
Ç. Söyüncü CB,27,77,78,10500000,43000,Levante,2023,2026,3,1783
Ç. Söyüncü CB,27,77,78,10500000,43000,Getafe,"Jun 30, 2024 On loan",,NULL,1783
Éder Militão CB,25,86,89,80000000,210000,Atl√©tico Madrid,2023,2027,4,2053
Éderson CM CAM,23,77,82,16000000,39000,Atl√©tico Madrid,2023,2027,4,2039
Álex Baena CM ST LM,21,76,83,15000000,22000,Hatayspor,"May 31, 2024 On loan",,NULL,2079
Álex Balboa CM CDM,22,62,72,900000,4000,Club Brugge,2019,2024,5,1594
Álex Berenguer LM RM,27,80,80,22500000,33000,Al Shabab,2020,2024,4,2127
Álex Bermejo LM RM ST,24,70,76,2500000,5000,Mexico,Free,,NULL,1862
Álex Blanco LM CAM CM,24,70,75,2400000,3000,Adana Demirspor,"Jun 30, 2024 On loan",,NULL,1705
Álex Calvo RW RM,19,66,78,2000000,2000,Real Madrid,2019,2025,6,1687
Álex Cardero CM LM CAM,19,63,76,1100000,1000,Atalanta,2022,2026,4,1715
Álex Centelles LB,23,72,79,4500000,14000,Strasbourg,"Jun 30, 2024 On loan",,NULL,1873
Álex Moreno LB,30,80,80,18000000,81000,Atl√©tico Madrid,2014,2026,12,2106
Álex Padilla GK,19,63,78,1000000,2000,Benfica,2023,2024,1,892
Álex Pozo RB RM RWB,24,72,79,4500000,14000,Hungary,Free,,NULL,1894
Álex Remiro GK,28,84,86,36000000,43000,Pisa,2021,2025,4,1309
Álex Valle LB,19,66,79,1900000,14000,Barcelona Guayaquil,2020,2028,8,1732
Álvaro Djaló LM RM CAM,23,73,79,4800000,11000,The Strongest,2023,2024,1,1831
Álvaro Fernández LWB LM,20,70,82,3700000,31000,Villarreal,2019,2028,9,1853
Álvaro GK,25,72,76,2600000,6000,Huesca,"Jun 30, 2024 On loan",,NULL,1127
Álvaro ST LW,18,64,81,1500000,11000,Athletic Club,2020,2024,4,1538
Álvaro Tejero RB RWB,26,72,73,2500000,8000,Burgos,2022,2024,2,1972
Ángel ST CAM,36,70,70,550000,5000,Como,2022,2024,2,1795
Í. Jóhannesson CM RW,20,67,78,2200000,6000,FC Andorra,2023,2028,5,1893
Ângelo RW RM,18,69,86,3500000,17000,Real Oviedo,2020,2026,6,1629
Ó. Ómarsson RB LB,20,60,73,575000,550,Almer√≠a,2020,2026,6,1555
Ó. Cardozo ST,40,71,71,0,550,Aston Villa,2023,2026,3,1666
Ó. Cortés RW LW,19,68,80,2900000,9000,Athletic Club,2022,2024,2,1760
Ó. Estupiñán ST,26,72,75,3100000,15000,Almer√≠a,2022,2027,5,1786
Ó. Hernández CDM LB CB,30,66,66,725000,700,Real Sociedad,2019,2027,8,1661
Ó. Zambrano CDM CM,19,69,82,3100000,500,Levante,"Jun 30, 2024 On loan",,NULL,1790
Óliver Torres CM CAM LW,28,79,79,17500000,33000,Sporting Braga,2022,2025,3,1992
Óscar Aranda LM RM,21,67,80,2500000,3000,Granada,"Jun 30, 2024 On loan",,NULL,1595
Óscar Clemente LM RM CM,24,68,74,1900000,5000,Huesca,2019,2024,5,1649
Óscar CM RM LM,25,74,78,6000000,21000,Real Madrid,2021,2027,6,1892
Ö. Beyaz CAM CM,19,62,75,950000,2000,SD Eibar,2019,2024,5,1612
Ł. Łakomy CDM CM,22,67,79,2400000,6000,Tenerife,2023,2025,2,1729
Ł. Fabiański GK,38,79,79,1900000,35000,Fortuna D√ºsseldorf,"Jun 30, 2024 On loan",,NULL,1272
Ž. Vipotnik ST,21,67,75,2300000,3000,FC Barcelona,2023,2025,2,1525
Ž. Zaletel CB,23,67,73,1500000,3000,Fenerbah√ße,2021,2025,4,1454
09 D. Addo CB,21,59,68,0,0,Fenerbah√ße,2020,2027,7,1153
09 J. Yates ST,19,40,55,0,0,Chelsea,2023,2030,7,847
09 P. Maldini CB,40,77,89,0,0,Rapid Bucuresti,2019,2024,5,1471
10 F. Cannavaro CB,35,82,89,0,0,FCSB,2020,2024,4,1481
11 Dong Fangzhuo CF ST,25,62,69,0,0,Gen√ßlerbirliƒüi,2011,,NULL,1619
11 G. Neville RB CB RWB,35,76,82,0,0,Rotherham United,2009,,NULL,1774
11 Grafite ST RF,31,80,84,0,0,Milan,2009,,NULL,1937
11 Guti CAM CM CDM CF,33,81,85,0,0,Juventus,2010,,NULL,2019
11 R. Papini CM CDM,27,61,70,0,0,Portimonense,2005,2012,7,1626
11 Ronaldo ST,33,77,91,0,0,Manchester United,1991,2011,20,1739
13 D. Beckham CM RM,37,78,78,0,0,VfL Wolfsburg,2007,2012,5,2012
14 A. Del Piero ST CAM,38,70,70,190000,30000,Be≈üikta≈ü,2010,2012,2,1682
14 Adriano ST,31,73,73,1500000,30000,Grosseto,2009,2012,3,1629
14 Cássio GK,26,77,81,1600000,60000,Corinthians,2009,2012,3,1313
14 J. Park CAM RW,32,78,78,4100000,80000,England,Free,,NULL,1923
14 M. Diarra CDM CM,32,75,75,850000,30000,Sydney,2012,2014,2,1842
14 Nunes CB,36,70,70,0,10000,Athletico Paranaense,2014,2014,0,1583
15 Albert Riera LM LB CAM,32,74,74,2400000,35000,Corinthians,2012,2018,6,1983
15 I. McLoughlin GK,22,57,62,100000,2000,PSV,"Jun 30, 2014 On loan",,NULL,1158
15 Ronaldinho CAM ST,34,78,78,4100000,45000,Fulham,2014,2014,0,1875
16 A. Arshavin LW RW,34,75,75,2100000,25000,Mallorca,2005,2014,9,1842
16 Anderson CM CAM CDM,27,73,73,2900000,60000,Mallorca,2015,2016,1,2004
16 Diego CAM LM,30,79,79,9500000,100000,Milton Keynes Dons,2011,2015,4,1987
16 E. Gudjohnsen CF ST,36,71,71,190000,25000,Quer√©taro,2014,2016,2,1707
16 FakePlayer ST CAM,27,69,71,0,0,Kuban' Krasnodar,2015,2016,1,1716
16 L. Palmer RB,30,62,62,200000,4000,Internacional,2015,2019,4,1730
16 M. Upson CB,36,71,71,0,15000,Fenerbah√ße,2014,2017,3,1440
16 Rodrigo Caio CB CDM,21,75,80,4700000,50000,Molde,2016,2018,2,1893
17 F. Totti CF ST,39,80,80,1500000,60000,China PR,Free,,NULL,1872
17 J. Makoun CDM CM,33,69,69,450000,9000,Chicago Fire,2013,2019,6,1863
17 K. O'Connor CM,30,58,58,120000,500,Milton Keynes Dons,2015,2016,1,1584
17 M. Essien CDM CM,33,74,74,1500000,2000,S√£o Paulo,2011,2018,7,1926
17 R. Pavlyuchenko ST CF,34,71,71,875000,30000,Roma,1993,2017,24,1758
17 S. Squillaci CB,35,74,74,575000,15000,Antalyaspor,2015,2023,8,1531
18 A. Aquilani CM CDM CAM,32,75,75,5000000,20000,Longford Town,2014,2017,3,1977
18 A. Gilardino ST,34,72,72,1600000,5000,Panathinaikos,2015,2017,2,1694
18 B. Yılmaz CB CDM,18,55,72,150000,2000,Ural,2016,2017,1,1296
18 D. Bent ST,33,70,70,1100000,10000,Bastia,2013,2018,5,1645
18 J. Toulalan CDM CB,33,78,78,4200000,40000,Las Palmas,2017,2019,2,1829
18 Kaká CAM CF,35,80,80,0,0,Spezia,2017,2019,2,1832
18 M. Carrick CDM,35,79,79,3000000,90000,Karab√ºkspor,2017,2020,3,1970
19 C. Marchisio CM CDM,31,84,84,19500000,130000,Burton Albion,"Jun 30, 2018 On loan",,NULL,2179
19 D. Bonera CB,37,75,75,450000,20000,Bordeaux,2016,2018,2,1491
19 Ganso CAM CM,28,75,75,6500000,20000,Brazil,Free,,NULL,1793
19 O. Jackson CB,19,57,72,200000,1000,Manchester United,2006,2018,12,1321
19 P. Crouch ST,37,72,72,900000,30000,Juventus,2007,2020,13,1622
20 A. Schürrle LW RW LM,28,77,77,9000000,59000,Villarreal,2015,2019,4,1999
20 B. Höwedes CB LB,31,79,79,9500000,50000,Amiens SC,"Jun 30, 2019 On loan",,NULL,1797
20 B. Schweinsteiger CB,34,75,75,0,0,Milton Keynes Dons,2016,2019,3,1999
20 G. Bokwé GK,29,61,62,200000,700,Burnley,2019,2019,0,1008
20 Han Kwang Song ST,20,70,82,3200000,14000,Spartak Moskva,2016,2021,5,1698
20 Lucas Silva CDM CM,26,74,77,6500000,88000,Lokomotiv Moskva,2018,2022,4,1919
20 M. Gómez ST,33,74,74,3500000,26000,Germany,Free,,NULL,1710
20 R. Babenko CM,26,62,63,350000,1000,Mj√∏ndalen,2018,2020,2,1763
20 Raffael CF ST,34,76,76,4100000,29000,Cagliari,2017,2023,6,1954
20 V. Kompany CB,33,82,82,10500000,29000,Real Madrid,2015,2020,5,1849
21 A. Essabri RW LW,18,60,75,575000,700,VfB Stuttgart,2018,2020,2,1492
21 A. Lukimya CB,34,67,67,325000,3000,Rak√≥w Czƒôstochowa,2019,2020,1,1496
21 A. Robben RM CAM,36,79,79,5500000,11000,Borussia M√∂nchengladbach,2013,2020,7,1947
21 A. Valencia RB CDM,34,78,78,5000000,13000,Anderlecht,2019,2022,3,2077
